"","adrenal.gland","colon","esophagus","kidney","liver","lung","ovary","pancreas","prostate","testis","spleen","stomach","heart"
"ENSG00000047315",5.83316719265979,5.46569482971558,NA,NA,5.87693433629048,5.52070789114659,6.10525868472406,5.60739549666729,5.21330116621064,6.48277178750169,5.84545706289684,5.59207793801101,NA
"ENSG00000171824",NA,5.37114713365629,NA,NA,NA,NA,5.29025319212454,NA,NA,5.27056504120906,NA,5.5039314939394,NA
"ENSG00000115159",6.84124993109923,6.62938564308498,6.90032154512624,6.31149901203961,5.2894754677174,7.08626865707727,6.39963047278589,7.33717354850288,7.2396578729471,6.91709174318471,7.10378908449655,7.22429747451298,7.25522453300024
"ENSG00000044115",6.9520603836342,7.7785357665363,6.86957928307964,6.58169203344102,7.2590832273787,7.66648139610971,6.94453708095185,7.83192473012325,7.48324841496548,7.16265145440007,7.14146200313207,7.74025377833266,7.7211650183913
"ENSG00000100196",NA,NA,NA,NA,NA,6.11953689752263,NA,NA,NA,NA,NA,5.78795566283143,NA
"ENSG00000114480",7.47522750714173,6.40505657462542,7.01989451459305,7.13108875324628,7.6222434453888,6.26635800849252,6.95232350131865,7.3716340313781,7.13055814404098,7.08877046525576,6.90340184737125,7.13203179559702,8.16929437575223
"ENSG00000143457",NA,5.82979278694484,NA,5.8244343962448,NA,NA,NA,NA,NA,5.95527656170082,NA,6.62561622533089,NA
"ENSG00000132612",6.54117492853343,6.57428574254667,NA,6.56993535346517,5.96168536555394,5.89314300332111,6.46750835311972,NA,6.17171910875684,6.19659925979303,5.37834328363947,6.15160236330565,6.48403500486517
"ENSG00000125633",6.30592718667438,6.05449877345409,NA,6.1856029883343,5.45552982856506,6.29266132555019,6.02990799801595,6.97431443003119,5.59228954873679,6.27628293766165,6.30446209470837,6.11392453532912,NA
"ENSG00000198899",7.62237213968871,NA,8.12544939893243,8.18261946719054,8.48588436842639,7.55715783051865,7.07593363630545,7.74518581162501,7.67712509793811,NA,6.91408447187594,7.36151762590801,8.76447525597688
"ENSG00000184730",NA,6.1928467641005,NA,NA,NA,NA,NA,NA,NA,NA,5.35027322063316,NA,NA
"ENSG00000077312",6.36921119805792,6.97696727529439,NA,7.18937497631808,7.04286929174048,6.81209444132636,6.44094466936402,6.62865495224523,7.33251417128877,7.20637906567419,7.23313598441498,6.84523024884718,6.62925824995941
"ENSG00000115310",9.96463388215316,7.72994085162207,9.63979767200993,9.41938203476942,8.84237123161629,8.52325217229053,8.59919708050893,8.52873206854168,8.80676194510021,9.65095789966869,8.27744967890668,8.70437333657568,7.86170226593905
"ENSG00000261857",NA,NA,NA,NA,NA,6.19222182625248,NA,NA,NA,NA,NA,NA,NA
"ENSG00000170876",7.32499798096805,7.05707282431009,7.20226150034151,6.87099168037977,NA,7.88920940888524,6.76637055053716,7.06482890228947,7.44861216057575,7.25374757050847,6.20308913833931,6.2501943158444,6.20555064801365
"ENSG00000119669",5.08511538442377,4.63494444080691,NA,NA,NA,NA,5.50088873135891,NA,NA,5.80423353049323,NA,NA,NA
"ENSG00000186063",5.96137668033685,6.56274584778073,NA,6.09936953835713,NA,6.36269070022839,6.8199361098354,NA,6.09148191183984,6.4175896396637,6.28155894060535,6.28236455244526,5.70259274227836
"ENSG00000242515",NA,NA,5.73661292100488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102595",4.67273069202259,NA,NA,NA,NA,NA,5.30533043825975,NA,5.21530219685645,NA,NA,NA,NA
"ENSG00000101336",NA,5.41018626485646,NA,NA,NA,4.98631021035196,NA,NA,NA,NA,6.25513837111785,NA,NA
"ENSG00000006715",5.05243933113508,4.8150333996809,NA,NA,NA,NA,5.42747671684344,NA,NA,5.58433894828719,6.22203853537129,5.800541439761,NA
"ENSG00000041353",NA,5.88250626250393,6.78363995037705,NA,NA,6.26951491577351,NA,NA,7.19406906142781,NA,6.1327883825508,7.44300920353619,NA
"ENSG00000143799",6.55944504128566,6.9718249769769,NA,NA,6.67518591386079,7.06715831418855,7.10906350588952,7.47384278338285,6.63006227733749,6.92831480525511,7.18143292878937,7.01455097493179,6.73129124090462
"ENSG00000137699",NA,NA,7.40458805475246,NA,NA,NA,NA,NA,5.43587655386969,NA,NA,NA,NA
