,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,stomach,spleen,colon,lung
ENSG00000114779,8.00885556399621,7.81532552815565,7.60150270814703,8.40038197142353,8.23066637400262,8.35889545418634,8.01176567397768,7.78483775285921,7.71500771957195,7.98407456622565,7.84212802790053,8.34005321257431
ENSG00000011198,5.95471033032272,4.89959343364413,NA,NA,NA,5.65085431176617,NA,NA,5.61877166136657,NA,5.7490126237097,NA
ENSG00000163686,5.89472025587852,NA,NA,6.59493049027785,NA,NA,NA,NA,5.93998694395789,6.18717033640887,NA,6.18420590070919
ENSG00000136754,5.90405521879157,6.36158273287047,5.82755475142494,6.13227720022974,6.4126689351787,6.06994654246904,NA,6.30368892117914,6.48499828685864,6.3882837019185,NA,5.3910203282008
ENSG00000108798,5.58283576529058,NA,NA,NA,NA,5.54627936723126,NA,NA,5.86439507174807,6.95277545115126,NA,NA
ENSG00000154175,NA,NA,NA,NA,NA,NA,NA,3.97823107631225,NA,NA,NA,NA
ENSG00000099204,5.88998482853249,5.11576053984887,5.75756317360643,4.74369487582295,6.1782435442597,NA,NA,NA,3.91977568843391,NA,4.77570746333009,NA
ENSG00000159842,5.76515424830402,6.33960974429722,NA,NA,5.79828044986002,5.86522695555583,6.51503341511783,6.0354627332033,6.34292192001283,5.96721733514182,6.15004750724944,NA
ENSG00000146386,5.83778407917638,6.26216116936144,7.52770563835954,7.97504026888454,7.37881755213807,7.81219904533272,7.341897491268,7.80254054550568,NA,7.90498969012379,7.56474772538501,7.44469412045355
ENSG00000060971,7.24644933826704,6.65254178990763,6.59744989899753,8.05004983166548,NA,6.67466310903805,6.44062067533576,7.17586259665297,7.01046058813345,7.14752048858818,6.47290263298497,6.77717399960385
ENSG00000167315,7.86148064342719,7.15582908860123,7.20743281276324,8.81718094769439,7.47710496538744,7.55768481477462,7.5899347353795,7.62460226229073,7.42157462503097,7.78193417680505,7.70125830720769,7.33992728448879
ENSG00000132142,6.16342974330147,5.96246665898835,6.00025953806594,3.93163666536014,5.00451658407954,5.63164587903578,NA,6.10891771936725,5.8232442304168,4.66544387679963,4.1971771866635,6.63328591337405
ENSG00000076555,4.72553595206838,3.87817470196853,4.67939523985721,5.79487400969997,NA,4.90184956063912,5.06396673909328,NA,NA,NA,5.36627755905263,7.15849308104356
ENSG00000111271,4.76943640974155,NA,4.5909394386151,6.72102642824101,NA,NA,NA,NA,5.27602686014281,NA,5.78654566744985,NA
