,kidney,liver,pancreas,prostate,stomach,adrenal.gland,testis,thyroid,esophagus,ovary,salivary.gland,spleen
ENSG00000171773,NA,NA,NA,-1.54470015575898,NA,-0.531192183886406,-1.2599610230788,-1.77584011498435,NA,-1.4152679369569,NA,NA
ENSG00000187105,-0.175342204548117,0.046227349184582,-1.49669007922086,-0.318382361415977,-0.278612463113654,-0.72946171544481,0.800156204890728,-0.381773040167514,-0.462841780323674,-0.3458861893091,-0.584149265505013,-0.196051305564395
ENSG00000185250,0.702982532250528,-0.608726184015907,0.485663755108854,0.0270705989660048,0.416914178555307,0.00596384801722714,1.22479015302999,1.07314847016868,0.414271618094033,0.739070487774031,0.367695294731325,-0.0602431980740185
ENSG00000157131,NA,2.58685396497255,NA,NA,-1.01540727341012,NA,-1.86764270254111,NA,NA,NA,NA,NA
ENSG00000205496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000143390,1.34742955006094,1.07608072934081,1.06372872356099,1.36624645786641,1.37603857079446,1.47727561319387,1.19298504930384,1.41499996713526,1.31011014493154,1.01070164653854,1.2427647578121,1.73873631157453
ENSG00000182968,-2.26280735729526,NA,NA,NA,-2.1512964756633,-1.760523824126,-0.273716086115395,NA,-2.11672823643655,-2.17951387532457,-2.08004120522925,NA
ENSG00000129170,-0.646069350511488,NA,0.195659520269538,1.69487132106732,-1.50105409874825,NA,-0.986696451437129,-0.523989773694863,1.51185325230355,-0.544407379466758,-0.321395991973714,NA
ENSG00000010810,1.55447280551038,1.7729341623707,1.16157884497157,1.13618019516292,1.66030657412493,1.19066110930385,1.39122753974715,1.84355624991784,1.35320724951683,1.56918792061912,1.17291861473452,1.95805700026853
ENSG00000231396,-2.46344155742847,NA,NA,NA,NA,NA,-2.85641736976187,-3.47044531391792,NA,NA,NA,NA
ENSG00000178695,1.47938489573247,1.07336337013752,1.07055588499644,1.19269047108835,1.49084474964962,1.41988669545231,1.36183031643648,1.12485370373432,1.5495891024282,1.61753008614522,1.25020937866413,1.73020802654787
ENSG00000042062,1.3365052623351,0.860873332403987,0.404281073475566,0.385672379734224,0.331325008779938,1.1918424246808,0.783492682232677,0.221680412792178,0.539679273061927,0.670300884415659,0.355664876707345,0.751849925086873
ENSG00000109066,0.601919094202407,0.570218472722528,0.725219959256599,0.483890578367196,0.569119220131316,0.637999121228322,0.72949936536827,0.688441031422184,0.576533014654791,0.447332142055892,0.834332403402591,0.52893062337393
ENSG00000169019,1.43906058233005,0.976189645934726,1.00684771226187,1.01138678020453,1.14026891779228,1.20907394255329,1.27324990827493,1.26951237169174,1.34471028474487,0.96447748279024,0.863005817059665,1.21005941755988
ENSG00000198271,NA,NA,NA,NA,-1.37594212248633,NA,NA,NA,NA,NA,NA,NA
ENSG00000100906,1.7162308710356,2.37215139777713,2.0249190107933,1.75225792423955,1.87160565337027,2.21432571956441,1.37838321006118,1.85277556269357,2.06399159146349,2.33766999472292,1.95428663819415,2.06622779398369
ENSG00000186188,-1.09903237608088,-1.29395962730824,-0.463575089862526,-0.983284983902541,-0.269226610025832,-0.3604185501114,-0.604571257040859,-1.38969860706956,-0.551639855092066,NA,-1.18393093147399,-1.24927024474355
