,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,colon,heart,lung
ENSG00000135847,NA,NA,NA,NA,NA,NA,NA,NA,5.4343965876443,NA,NA
ENSG00000159640,5.13347503683809,5.65512173639552,5.25740878068519,5.00845578230589,6.72577681975091,NA,6.10668733053392,NA,5.81165607585167,NA,6.25830685792092
ENSG00000130234,NA,NA,NA,5.32900860290152,7.36122461094321,NA,NA,NA,NA,NA,NA
ENSG00000100813,5.47767101295665,NA,6.05489373535015,NA,6.59086308061097,NA,4.40104791909044,5.73339364342233,5.93175500794412,NA,4.7054355088121
ENSG00000153086,NA,NA,NA,6.2473393470979,NA,NA,NA,NA,NA,NA,NA
ENSG00000122729,7.70607738731008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000100412,8.14057088863295,7.7630981163866,7.5552860864744,7.62270865745847,8.10726032074163,8.08118470054698,7.86539345138157,7.92634764259575,7.60174551893537,9.16653704011671,7.57211201094015
ENSG00000184227,6.41674033367636,NA,NA,7.93415300391449,5.20410983441381,NA,7.00871764039096,NA,NA,7.10101005013231,NA
ENSG00000162390,NA,NA,NA,NA,NA,NA,NA,NA,6.02522888951313,5.32649626463876,NA
ENSG00000112304,6.9921291776296,NA,6.48578887425371,7.84806901606266,6.49043326357085,7.35985229320708,6.84816476100292,7.90410966794199,7.2389769484684,7.73099312259203,6.65530325129276
ENSG00000119673,7.71916549408921,NA,NA,6.81110734687291,6.9470791723794,NA,NA,NA,NA,8.19408690072864,NA
ENSG00000097021,6.28510702956681,NA,NA,6.69998522822013,NA,NA,NA,NA,6.72170721709448,NA,NA
ENSG00000101473,6.0707395628492,NA,NA,5.59567374317497,6.34624942630193,NA,NA,NA,5.81353237481373,NA,NA
ENSG00000123130,7.43730653132427,6.90449914658937,7.15818992750915,7.05172728425846,6.62594471341863,6.83216835078547,7.17339430049249,NA,6.89233512532808,8.24034044443508,7.02003901794952
ENSG00000161533,6.30835094858673,6.50296011924125,5.68279812057826,7.0682630436469,7.10379833674676,NA,NA,7.27156594255498,6.62298672162158,NA,5.86227354646459
ENSG00000168306,NA,NA,NA,6.48467113281617,6.48262347781943,NA,NA,7.83104544015094,5.36851680416744,6.02640596169315,NA
ENSG00000087008,5.46907055203125,6.23364018621797,NA,NA,5.38075199847531,NA,5.19638813669042,6.10697506768817,4.60677158617742,6.06362770994297,NA
