,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,stomach,spleen
ENSG00000076555,4.72553595206838,3.87609392372885,4.67938958199999,5.79331936525004,NA,4.90018775174695,5.06330586040496,NA,NA,NA
ENSG00000111271,4.76943640974155,NA,4.59093378075788,6.71947178379108,NA,NA,NA,NA,5.27518823496097,NA
ENSG00000240303,5.80136254271253,NA,5.41275903861976,5.6719479573727,NA,NA,NA,5.52299965259808,NA,NA
ENSG00000151498,6.45748828090444,5.55898010589543,6.4341978409765,6.87810116618444,5.79449976917844,5.8526079441323,5.52398553372012,6.0975431513194,6.38768229061207,6.22575115897997
ENSG00000177646,6.46924748409219,6.05168303379492,5.94760911427618,6.67725216051169,5.7675398681088,5.96745892106887,NA,6.11471689381639,6.63498368701864,6.09420178765222
ENSG00000115361,NA,NA,NA,6.92503348987704,5.09523886884732,5.14376214361561,4.64105436465162,NA,NA,NA
ENSG00000117054,7.24059916431988,7.16699733422873,7.02691780605031,8.5436218299216,7.01172408002999,7.47150220525932,7.13891628103694,7.05240264204975,7.52434928158743,7.57851732013576
ENSG00000122971,7.46434048462767,6.36976967417352,6.75556596705375,7.68518393436304,6.4332089685306,6.98795698768742,6.74117452274395,6.37943017127235,6.9817711732433,7.51852404016987
ENSG00000196177,7.57651411205196,6.45331876009093,6.6186546715698,8.23539405980737,6.5708407759198,6.54797247029342,7.01260232230793,6.81310085024419,7.09899214866685,6.6809246471395
ENSG00000072778,8.15766827273877,7.44543697801591,7.19460693928903,8.08183740433665,6.7732739865707,7.3731783875854,7.07713638259853,7.40336583789226,7.81229389468234,7.6250702325867
ENSG00000072818,NA,NA,NA,NA,NA,5.28054215239972,NA,NA,5.34304609134129,6.15817535577779
ENSG00000114331,5.81733394859946,6.28618683961508,5.52202260703965,NA,6.01108234443941,NA,4.60539553471024,5.46468079970966,6.03615747445818,5.81079383894936
ENSG00000075239,8.49066065335614,7.32958666633274,7.47972965066238,8.86174589192373,7.66821952684469,7.57134836186151,7.93130128309424,7.63918236563436,7.89785725456879,7.92091432098439
ENSG00000120437,7.58699215739537,6.77369831729456,8.13910213762468,6.79153859306947,6.74342853054904,6.93466078324147,7.02247172172164,6.92811401658969,7.15505696735959,7.27635596669835
ENSG00000182827,6.24632620751237,6.55255771387351,6.16426110979939,6.17817068711436,5.93757314361637,5.51365791591451,5.92417769718679,6.45957581695485,7.04479457594036,6.18175790029122
ENSG00000107897,4.44997181056689,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000159640,NA,5.87359003512308,5.8585621488182,7.10558290275088,5.45897371052508,5.72162137433103,4.62880045887471,6.41518729686412,5.83240346271189,NA
ENSG00000130234,NA,NA,4.90463531308576,6.98452471412423,NA,NA,NA,NA,NA,NA
ENSG00000100813,4.72457076193828,4.54689546853218,4.38927728101792,NA,NA,4.87753260758941,NA,NA,4.65929975274632,NA
ENSG00000153086,NA,NA,NA,6.78266583874239,NA,NA,NA,NA,NA,NA
ENSG00000100412,8.07169794522162,8.022274916152,8.18726199055434,6.93935218730016,7.43588550847932,7.69589882937722,7.83394763374889,7.60931408655354,8.10582889262349,7.87273578877912
ENSG00000184227,7.6664899002625,7.1910975242414,NA,8.09943335291373,6.80881183605721,NA,7.50558931338351,NA,NA,NA
ENSG00000162390,NA,5.57858282030571,NA,NA,NA,NA,NA,5.20878624839273,6.44049368831501,NA
ENSG00000112304,7.90022507201035,6.77306575178636,7.27844471233409,8.13664061771439,7.22518153070768,7.13441290370836,7.07373553408229,7.32738506769346,5.82815672498122,6.65594790476219
ENSG00000119673,6.37947956333151,4.66987620743862,NA,6.5610004411203,5.6823630075304,NA,6.56377494295902,NA,NA,NA
ENSG00000097021,6.33461457117939,6.74859295543344,6.08213151978347,7.12390204692632,NA,6.22432623004033,6.59953686429441,6.10642141873711,6.49113506904092,6.82531134322173
ENSG00000101473,6.34613773016044,5.11654654627,5.94334718119981,6.69767094374359,NA,NA,NA,6.25896059416771,6.12533958815231,5.75039648366363
ENSG00000123130,7.0886675525424,6.64498249761881,6.69513987128921,6.37720048280391,6.33411892283853,6.35801576460105,7.26050263332485,6.91625351341268,6.87268394824618,6.95671083760472
ENSG00000161533,6.69813535741307,7.03220018665749,6.86219977626621,7.65121558925764,NA,5.6147460411862,5.20443531551103,6.44566167271743,6.68050141800831,5.81646810669119
ENSG00000168306,NA,NA,4.84864759030022,7.14206467540752,NA,NA,NA,4.82961764939728,NA,NA
ENSG00000087008,5.10765082614649,NA,5.32149985951808,5.43006812170767,NA,NA,NA,5.39752741633129,5.53633700663746,NA
ENSG00000143727,8.2617765791394,7.64707196951287,7.69950585806057,7.44444078639655,7.27937648859487,7.49035013765399,7.0890361675904,7.37079935868217,7.1851977388822,7.52081223342901
ENSG00000134575,6.54377014026961,5.29060784835046,6.42301199799794,5.63251051999249,NA,6.03554979728234,NA,6.2332925605675,6.30156537450886,6.48692845361834
ENSG00000102575,NA,NA,NA,6.46650156175179,NA,6.36217684679345,NA,6.36475065973254,NA,5.8093943530184
ENSG00000162836,5.79911989938817,NA,4.95169189999066,NA,NA,NA,5.90845293791846,NA,5.57476746312823,NA
ENSG00000167107,7.69162954246697,NA,5.56354157363342,8.24564044750964,6.34736077150891,6.23813177219752,NA,6.71922705969072,6.88793072164672,NA
ENSG00000176715,7.13436838460338,6.56143839788299,6.25712475310523,7.14479271671858,6.28876145064074,5.7517236949351,5.85845579043817,5.88673215837657,6.79463843255488,NA
ENSG00000151726,7.25601981338012,7.04723176378969,6.19075143952032,8.03852711355523,5.98196692758496,7.18497347602795,6.73225440214069,7.67112066105802,7.08892613164419,6.44277415401706
ENSG00000123983,6.42160392686983,6.87839535672758,6.97746339984421,5.67187450997157,5.93494093218995,5.61902346195115,6.641876114153,6.35856629756414,6.98557458358764,5.90319962271607
ENSG00000068366,6.57499144397749,6.43396808565917,6.48669747037909,6.70978649619672,5.80748480631728,6.20880289307634,6.06144601610287,6.67797556241887,6.579965811423,6.60716873416312
ENSG00000197142,NA,NA,NA,NA,NA,NA,NA,6.46126432821672,6.49588440174769,5.66190301333386
ENSG00000164398,5.18112869974729,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000183747,NA,NA,NA,7.99432984144774,NA,NA,NA,NA,NA,NA
ENSG00000066813,NA,NA,NA,8.72178061488006,NA,NA,NA,NA,NA,NA
ENSG00000005187,NA,NA,NA,7.25930621721279,NA,NA,NA,NA,5.2353801201271,NA
ENSG00000154930,5.98651645528034,6.01808876891787,7.16027439417678,7.05093140529091,NA,6.19742999519014,5.98820332883748,6.34907009132616,6.9235865727722,6.15338473460213
ENSG00000131069,7.22193559982801,6.64628156842711,6.65031739020271,6.29009588133801,6.06540222806273,6.19376448094922,6.07623139622477,6.03852056163882,6.89147237426757,5.81948195974342
ENSG00000111058,6.86097251132297,NA,5.79609078314768,7.21868836630452,6.53879561026315,NA,5.37715204175155,NA,NA,5.39249487634583
ENSG00000075624,NA,NA,5.28310964374339,6.34365838350167,7.72351418766906,6.58202678929588,7.93247726967316,6.30245035558521,NA,9.83343236934202
ENSG00000169067,NA,NA,NA,8.29203772020794,NA,NA,7.78761168517399,8.51218548254162,5.64531316218768,6.03402536192517
ENSG00000163017,5.99392095880129,7.09320653089069,NA,NA,NA,NA,8.08135547736967,NA,7.43546334579579,NA
ENSG00000136518,6.29428982710072,6.35266253010048,5.96280952110527,NA,6.76545894551383,6.62835342561751,6.1999866476391,6.72952513488359,6.54369038214903,6.61548209726027
ENSG00000072110,8.07205863354671,8.42926540233312,7.18001466505553,7.59303835875683,7.61516060018676,8.16668127703795,9.01918793325469,7.5451126251128,8.01869435335104,7.87133604799793
ENSG00000130402,9.79230201944541,9.95464676137908,9.23827522885815,9.35645015444125,8.56061959310312,8.83171034046334,8.74092440143854,8.40745141440109,8.36025171166091,8.25350725809054
ENSG00000131966,6.12162549220847,5.5234950920632,NA,NA,5.0141859466074,5.73933344663008,6.40640677324721,NA,5.51226420233873,5.63957162855878
ENSG00000138107,7.42682019996336,6.87461609863896,7.05649857999472,6.62567471232853,6.62896211857871,7.08090408773802,7.37874790221212,7.06682438438476,7.34359995534677,7.11876646903377
ENSG00000115073,6.84564366732615,5.65775155841209,6.47895304800785,6.92977115890102,7.00795640323678,6.00891622638107,6.73013408948421,5.1823243203109,6.81387894303346,7.5448784146567
ENSG00000138071,7.40907043755903,7.66635884257694,7.62634891450455,7.43991103054301,7.59033325625495,7.66142407563483,7.62073210775874,7.74187657234014,7.85848218497375,8.4638892198944
ENSG00000115091,7.33551807589423,7.73952880410088,7.16689173884118,7.4089023216296,7.54831234770266,7.86494122429406,7.72413217402734,7.78327114664285,7.75285545270304,8.3279231968748
ENSG00000132744,NA,NA,NA,7.750095717971,NA,5.70051224462806,NA,NA,NA,NA
ENSG00000170634,6.39165832872247,6.3527130294589,6.10660074747205,6.09860465561755,6.2530962377767,6.58976708014096,6.97687264703008,6.30510015136112,NA,6.4256223897253
ENSG00000196839,NA,6.35982497025141,NA,NA,NA,6.30200689098788,5.87984153618426,5.97706321248132,6.91155125130548,7.7247066283469
ENSG00000137845,NA,NA,5.53270806738047,5.9152045260471,NA,NA,5.5870954922532,6.01349442382635,6.74192074283259,6.23190648788119
ENSG00000151694,NA,NA,5.766183871607,NA,4.47494498739305,NA,NA,NA,NA,NA
